product_name,description,manufacturer
"Tatty Teddy & My Blue Nose Friends Noo the Wildebeest soft toy, sits 4"" tall.","Product Description My Blue Nose Friends are cute, cuddly and completely irresistible. Start collecting now!Noo the Wildebeest is Number 79 in the My Blue Nose Friends collection. He's the messy wildebeest who's always getting himself in a tangle… but he'll try hard not to get you caught up in it!My Blue Nose Friends are best friends with each other… and with Tatty Teddy, the adorable Me to You teddy bear. All the characters have blue noses and cute patches, and they can't wait to play!There are over 100 My Blue Nose Friends in the collection, and each has its own unique number and personality. With so many My Blue Nose Friends to choose from, a world of fun and adventure awaits Tatty Teddy and his adorable Friends. Why not join in the fun today! Box Contains 1 x 4INCH MBNF WILDEBEEST",My Blue Nose Friends
Pokemon Center Pokedoll 8.5 inch Shiny Gold Magikarp Plush Yellow Fish Toy,"Name: Pokemon plush toy Character Name: Magikarp Quantity: 1 Plush Toy Material: High quality plush Item Size: approx 8.5"" L * 4"" W* 5"" H Very cute and adorable. Great Gift for your friends or kids! 100% Brand new.",Pokémon
Flamingo Soft Toy - Suma Collection,Flamingo Soft Toy - Suma Collection,Ravensden
WWF Wolf plush stuffed soft animal toy,"Officially licensed WWF Wolf plush stuffed animal soft toy. Approx. 15cm/ 6 inches. A beautifully crafted, cuddly Wolf toy which children of all ages ( and some adults too! ) will just adore. A realistic Wolf design soft toy. Suitable for ages 3+ Conforms to EN 71 part 1,2,3 No PVC or other chlororganics or harmful dyes are used in the manufacture of this product. All products conform to standard fire safety regulations. By purchasing this product you are helping to support WWF with its valuable conservation work for animals, their habitats and the wider environment. High quality, environmentally and socially responsible products which can be used as effective tools to educate people about the challenges of conservation, climate change, human footprint and biodiversity loss. We are proud to support WWF-UK. ( WWF is a registered trademark )",IBTT
Melissa & Doug Jack Russell Terrier Plush Toy,Product Description Melissa & Doug offers high quality toys which are great for stimulating an infants brain and enhance the hand-eye coordination Box Contains 1x Jack Russell Terrier - Plush,Melissa & Doug
Personalised meerkat plush toy with Happy holidays T-Shirt,Size: 15 cm Not recommended for children under 3 years of age.,Shopzeus
Keel Toys 110 cm Elephant,"Product Description 110cm Elephant. This delightful, cuddly soft toy elephant is made from a wonderfully soft, dense grey plush that has a sheen to it, and which your fingers just melt into. His tusks are cream in colour and cream coloured detail on his feet, his facial detail consists of round brown eyes with upturned truck giving him a cute expression You will find it hard not to want to give him a hug. A real sweetie! Box Contains 1 x 110cm Elephant",Keel Toys
"Official Nintendo Super Mario Plush Series Stuffed Toy - 10"" Cat Luigi","This Super Mario plush toy is an official, licensed product made by San-ei and imported from Japan. San-ei Super Mario plush toys are high-quality, well-made, and safe products.",Little Buddy
Sanei Tobidase Doubutsu No Mori Plush Toy Shizue,"This Pokemon Isabelle plush toy (Shizue in Japanese) is an official, licensed product made by San-ei and imported from Japan. San-ei Pokemon plush toys are high-quality, well-made, and safe products. This item measures approximately 7 inches along the longest dimension. The EAN for this product is 4905330102416.",Sanei
Minions - Despicable Me 2 Unicorn Agnes - Cuddly Plush Toy 60 cm,"Minions Unicorn Plush Figurine Despicable Me White 53cm, Licensed soft toy from the film Despicable Me, Minions plush unicorn, Cuddly and soft, 21 cm high, Colour white",PTS
